range,skewness,columnid,missing,is_primary_key_candidate,mean_absolute_deviation,25%,5%,std_dev,75%,completeness,nbeid,kurtosis,field_type,null,actual,distinctness,min,average,50%,median,base_url,iqr,datasetid,uniqueness,last_updt_dt_data,mode,max,total,variance,cardinality,api_key,95%,sum,dataset_name
108,10.0833440505,aaxw-2cb8__80_ami,284,False,2.613125,0.0,0.0,8.88,0.0,11.0,e2px-wugd,111.86945771,numeric,0,36,44.44,0,1.47,0.0,0.0,https://data.sfgov.org/resource/,0.0,aaxw-2cb8,5.0,2017-01-19T23:07:00,0,108,320,78.8544,16,_80_ami,6.05,469,Affordable Housing Pipeline
None,None,aaxw-2cb8_location,0,False,None,None,None,,None,100.0,e2px-wugd,None,geometry: point,0,320,95.94,0,,None,None,https://data.sfgov.org/resource/,None,aaxw-2cb8,95.94,2017-01-19T23:07:00,"{u'type': u'Point', u'coordinates': [-122.379774, 37.735785]}",0,320,,307,location,None,,Affordable Housing Pipeline
